Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2024-01-09/10:18:24.195;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:24.296;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:24.397;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:24.497;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:24.599;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:24.700;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:24.801;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:24.902;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:25.002;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:25.103;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:25.204;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:25.305;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:25.406;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:25.507;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:25.608;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:25.708;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:25.809;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:25.910;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:26.011;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:26.111;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:26.212;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:26.467;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:26.568;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:26.669;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:26.770;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:26.871;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:26.972;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:27.073;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:27.320;2;115.15;3.75;2.36;-1;0.00;0.00;-1
2024-01-09/10:18:27.421;2;115.15;3.75;2.35;0;0.10;0.00;722
2024-01-09/10:18:27.521;2;115.15;3.75;2.29;0;0.37;0.02;722
2024-01-09/10:18:27.622;2;115.14;3.75;2.08;0;0.74;0.09;722
2024-01-09/10:18:27.723;2;115.13;3.76;1.84;0;1.01;0.17;722
2024-01-09/10:18:27.823;2;115.12;3.76;1.52;0;1.28;0.27;722
2024-01-09/10:18:27.924;2;115.11;3.76;1.12;0;1.56;0.41;806
2024-01-09/10:18:28.024;2;115.09;3.77;0.48;0;1.92;0.62;806
2024-01-09/10:18:28.125;2;115.07;3.78;-0.09;0;2.20;0.80;806
2024-01-09/10:18:28.225;2;115.05;3.78;-0.33;1;2.47;1.02;806
2024-01-09/10:18:28.326;2;115.02;3.79;-0.33;1;2.83;1.34;806
2024-01-09/10:18:28.427;2;115.00;3.80;-0.33;1;3.10;1.60;806
2024-01-09/10:18:28.528;2;114.97;3.81;-0.33;2;3.38;1.90;806
2024-01-09/10:18:28.628;2;114.93;3.83;-0.33;2;3.74;2.33;806
2024-01-09/10:18:28.729;2;114.90;3.84;-0.33;2;4.01;2.68;806
2024-01-09/10:18:28.829;2;114.86;3.85;-0.33;3;4.28;3.05;806
2024-01-09/10:18:28.930;2;114.81;3.87;-0.33;3;4.64;3.59;806
2024-01-09/10:18:29.030;2;114.77;3.88;-0.33;4;4.92;4.03;806
2024-01-09/10:18:29.131;2;114.73;3.90;-0.33;4;5.19;4.49;806
2024-01-09/10:18:29.231;2;114.66;3.92;-0.33;5;5.55;5.14;806
2024-01-09/10:18:29.332;2;114.61;3.94;-0.33;5;5.84;5.69;806
2024-01-09/10:18:29.432;2;114.56;3.95;-0.33;6;6.12;6.24;806
2024-01-09/10:18:29.533;2;114.51;3.97;-0.33;6;6.39;6.80;806
2024-01-09/10:18:29.634;2;114.43;4.00;-0.33;7;6.75;7.59;806
2024-01-09/10:18:29.734;2;114.37;4.02;-0.33;8;7.02;8.22;806
2024-01-09/10:18:29.835;2;114.31;4.04;-0.33;9;7.30;8.87;806
2024-01-09/10:18:29.936;2;114.23;4.07;-0.33;9;7.66;9.78;806
2024-01-09/10:18:30.036;2;114.16;4.09;-0.33;10;7.93;10.49;806
2024-01-09/10:18:30.137;2;114.09;4.12;-0.33;11;8.21;11.22;806
2024-01-09/10:18:30.237;2;113.99;4.15;-0.33;12;8.57;12.24;806
2024-01-09/10:18:30.338;2;113.91;4.18;-0.33;13;8.86;13.08;806
2024-01-09/10:18:30.439;2;113.84;4.20;-0.33;14;9.13;13.89;806
2024-01-09/10:18:30.540;2;113.76;4.23;-0.33;14;9.40;14.73;806
2024-01-09/10:18:30.640;2;113.65;4.27;-0.33;16;9.77;15.90;806
2024-01-09/10:18:30.741;2;113.56;4.30;-0.33;17;10.04;16.80;806
2024-01-09/10:18:30.842;2;113.47;4.33;-0.33;17;10.31;17.73;806
2024-01-09/10:18:30.942;2;113.35;4.37;-0.33;19;10.68;19.00;806
2024-01-09/10:18:31.043;2;113.26;4.40;-0.33;20;10.95;19.98;806
2024-01-09/10:18:31.143;2;113.17;4.44;-0.33;21;11.22;20.99;806
2024-01-09/10:18:31.244;2;113.04;4.48;-0.33;22;11.59;22.37;806
2024-01-09/10:18:31.345;2;112.93;4.52;-0.33;23;11.86;23.44;806
2024-01-09/10:18:31.445;2;112.83;4.55;-0.33;24;12.13;24.52;806
2024-01-09/10:18:31.545;2;112.69;4.60;-0.33;26;12.50;26.02;806
2024-01-09/10:18:31.646;2;112.58;4.64;-0.33;27;12.77;27.16;806
2024-01-09/10:18:31.746;2;112.47;4.68;-0.33;28;13.04;28.33;806
2024-01-09/10:18:31.847;2;112.32;4.73;-0.33;30;13.40;29.93;806
2024-01-09/10:18:31.947;2;112.21;4.77;-0.33;31;13.67;31.16;806
2024-01-09/10:18:32.048;2;112.09;4.81;-0.33;32;13.95;32.42;806
2024-01-09/10:18:32.148;2;111.92;4.87;-0.33;34;14.31;34.13;806
2024-01-09/10:18:32.249;2;111.80;4.91;-0.33;35;14.58;35.44;806
2024-01-09/10:18:32.349;2;111.67;4.95;-0.33;37;14.86;36.78;806
2024-01-09/10:18:32.450;2;111.50;5.01;-0.33;38;14.84;38.59;806
2024-01-09/10:18:32.550;2;111.38;5.06;-0.33;40;14.57;39.91;806
2024-01-09/10:18:32.651;2;111.25;5.10;-0.33;41;14.30;41.23;806
2024-01-09/10:18:32.751;2;111.09;5.15;-0.33;43;13.93;42.94;806
2024-01-09/10:18:32.852;2;110.98;5.20;-0.47;44;13.66;44.18;806
