Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2024-01-18/12:10:59.468;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:10:59.570;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:10:59.670;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:10:59.772;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:10:59.873;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:10:59.974;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:00.076;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:00.176;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:00.277;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:00.378;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:00.479;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:00.580;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:00.681;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:00.782;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:01.034;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:01.134;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:01.235;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:01.336;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:01.437;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:01.541;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:01.642;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:01.743;1;31.95;57.75;1.57;-1;0.00;0.00;-1
2024-01-18/12:11:01.844;1;31.95;57.75;1.57;0;0.00;0.00;670
2024-01-18/12:11:01.944;1;31.95;57.75;1.57;0;0.33;0.01;670
2024-01-18/12:11:02.046;1;31.95;57.74;1.57;0;1.07;0.11;670
2024-01-18/12:11:02.147;1;31.95;57.73;1.57;0;1.53;0.23;670
