Timestamp;RobotID;Pose_X;Pose_Y;Pose_Theta;PathIndex;Velocity;DistanceTraveled;CriticalPoint
2023-10-03/17:12:18;5;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:19;5;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:20;5;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:21;5;88.45;81.92;-1.57;0;0.38;0.03;526
2023-10-03/17:12:22;5;88.44;80.26;-1.58;16;2.91;1.69;526
2023-10-03/17:12:23;5;88.40;76.06;-1.58;58;5.03;5.89;526
2023-10-03/17:12:24;5;88.36;71.15;-1.58;107;5.03;10.81;526
2023-10-03/17:12:25;5;88.32;65.96;-1.58;159;5.03;15.99;526
2023-10-03/17:12:26;5;88.27;60.93;-1.58;209;5.03;21.02;526
2023-10-03/17:12:27;5;88.23;55.88;-1.58;260;5.03;26.07;526
2023-10-03/17:12:28;5;88.19;50.91;-1.58;309;5.03;31.04;526
2023-10-03/17:12:29;5;88.15;45.89;-1.58;359;5.03;36.06;526
2023-10-03/17:12:30;5;88.63;41.21;-0.15;411;5.03;41.18;526
2023-10-03/17:12:31;5;92.84;39.79;-1.60;461;5.03;46.22;526
2023-10-03/17:12:32;5;92.71;35.37;-1.60;505;3.33;50.64;526
2023-10-03/17:12:33;5;92.65;33.29;-1.60;525;0.83;52.72;526
2023-10-03/17:12:34;5;92.65;33.20;-1.58;528;0.52;52.91;-1
2023-10-03/17:12:35;5;92.70;34.98;-1.60;546;3.03;54.69;-1
2023-10-03/17:12:36;5;92.82;39.18;-1.60;587;5.02;58.89;-1
2023-10-03/17:12:37;5;89.35;41.10;-0.15;636;5.02;63.81;-1
2023-10-03/17:12:38;5;88.14;45.05;-1.58;686;5.02;68.81;-1
2023-10-03/17:12:39;5;88.18;50.12;-1.58;737;5.02;73.88;-1
2023-10-03/17:12:40;5;88.23;55.09;-1.58;786;5.02;78.86;-1
2023-10-03/17:12:41;5;88.27;60.25;-1.58;838;5.02;84.02;-1
2023-10-03/17:12:42;5;88.31;65.23;-1.58;888;5.02;88.99;-1
2023-10-03/17:12:43;5;88.35;70.33;-1.58;939;5.02;94.10;-1
2023-10-03/17:12:44;5;88.39;75.23;-1.58;987;5.02;99.00;-1
2023-10-03/17:12:45;5;88.43;79.85;-1.58;1034;3.33;103.62;-1
2023-10-03/17:12:46;5;88.45;81.94;-1.57;1054;0.83;105.71;-1
2023-10-03/17:12:47;5;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:48;5;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:49;5;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:12:50;5;88.44;80.91;-1.58;10;2.29;1.04;526
2023-10-03/17:12:51;5;88.41;77.36;-1.58;45;4.79;4.59;526
2023-10-03/17:12:52;5;88.37;72.44;-1.58;94;5.01;9.51;526
2023-10-03/17:12:53;5;88.33;67.35;-1.58;145;5.01;14.60;526
2023-10-03/17:12:54;5;88.29;62.40;-1.58;195;5.01;19.56;526
2023-10-03/17:12:55;5;88.24;57.41;-1.58;244;5.01;24.54;526
2023-10-03/17:12:56;5;88.20;52.34;-1.58;295;5.01;29.61;526
2023-10-03/17:12:57;5;88.16;47.33;-1.58;345;5.01;34.62;526
2023-10-03/17:12:58;5;88.12;42.30;-1.58;395;5.01;39.65;526
2023-10-03/17:12:59;5;92.01;40.69;-0.15;445;5.01;44.60;526
2023-10-03/17:13:00;5;92.74;36.43;-1.60;494;4.09;49.57;526
2023-10-03/17:13:01;5;92.66;33.60;-1.60;522;1.58;52.41;526
2023-10-03/17:13:02;5;92.65;33.20;-1.59;528;-0.05;52.91;526
2023-10-03/17:13:03;5;92.65;33.20;-1.59;528;0.04;52.91;-1
2023-10-03/17:13:04;5;92.69;34.58;-1.60;542;2.63;54.29;-1
2023-10-03/17:13:05;5;92.80;38.34;-1.60;579;5.03;58.05;-1
2023-10-03/17:13:06;5;90.05;40.99;-0.15;629;5.03;63.11;-1
2023-10-03/17:13:07;5;88.14;44.47;-1.58;680;5.03;68.23;-1
2023-10-03/17:13:08;5;88.18;49.56;-1.58;731;5.03;73.32;-1
2023-10-03/17:13:09;5;88.22;54.58;-1.58;781;5.03;78.35;-1
2023-10-03/17:13:10;5;88.26;59.52;-1.58;831;5.03;83.29;-1
2023-10-03/17:13:11;5;88.30;64.52;-1.58;880;5.03;88.29;-1
2023-10-03/17:13:12;5;88.35;69.59;-1.58;931;5.03;93.36;-1
2023-10-03/17:13:13;5;88.39;74.60;-1.58;981;5.03;98.36;-1
2023-10-03/17:13:14;5;88.43;79.36;-1.58;1029;3.64;103.13;-1
2023-10-03/17:13:15;5;88.45;81.73;-1.58;1052;1.18;105.50;-1
2023-10-03/17:13:16;5;88.45;81.95;-1.57;1055;0.00;105.72;-1
2023-10-03/17:13:17;5;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:18;5;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:19;5;88.45;81.95;-1.57;-1;0.00;0.00;-1
2023-10-03/17:13:20;5;88.45;81.95;-1.57;0;0.08;0.00;431
2023-10-03/17:13:21;5;88.44;80.61;-1.58;13;2.59;1.34;431
2023-10-03/17:13:22;5;88.41;76.80;-1.58;51;5.04;5.15;431
2023-10-03/17:13:23;5;88.36;71.74;-1.58;101;5.04;10.21;431
2023-10-03/17:13:24;5;88.32;66.74;-1.58;151;5.04;15.21;431
2023-10-03/17:13:25;5;88.28;61.75;-1.58;201;5.04;20.20;431
2023-10-03/17:13:26;5;88.24;56.64;-1.58;252;5.04;25.31;431
2023-10-03/17:13:27;5;88.20;51.66;-1.58;302;5.04;30.30;431
2023-10-03/17:13:28;5;88.15;46.53;-1.58;353;5.04;35.42;431
2023-10-03/17:13:29;5;88.11;41.68;-1.58;402;4.69;40.27;451
2023-10-03/17:13:30;5;91.94;40.70;-0.15;444;5.00;44.53;526
2023-10-03/17:13:31;5;92.75;36.53;-1.60;493;4.14;49.48;526
2023-10-03/17:13:32;5;92.66;33.65;-1.60;522;1.66;52.36;526
2023-10-03/17:13:33;5;92.67;33.68;-1.60;533;1.63;53.39;-1
2023-10-03/17:13:34;5;92.75;36.55;-1.60;561;4.13;56.26;-1
2023-10-03/17:13:35;5;92.06;40.68;-0.15;609;5.01;61.07;-1
2023-10-03/17:13:36;5;88.12;42.39;-1.58;660;5.01;66.16;-1
2023-10-03/17:13:37;5;88.16;47.32;-1.58;709;5.01;71.09;-1
2023-10-03/17:13:38;5;88.20;52.39;-1.58;759;5.01;76.16;-1
2023-10-03/17:13:39;5;88.25;57.45;-1.58;810;5.01;81.22;-1
2023-10-03/17:13:40;5;88.29;62.47;-1.58;860;5.01;86.24;-1
2023-10-03/17:13:41;5;88.33;67.34;-1.58;909;5.01;91.11;-1
2023-10-03/17:13:42;5;88.37;72.38;-1.58;959;5.01;96.15;-1
2023-10-03/17:13:43;5;88.41;77.36;-1.58;1009;4.85;101.13;-1
